Age,Attrition,Non-Travel,Travel_Frequently,Travel_Rarely,DailyRate,Human Resources,Research & Development,Sales,DistanceFromHome,Education,Technical Degree,Marketing,Medical,Other,Life Sciences,EnvironmentSatisfaction,Male,Female,HourlyRate,JobInvolvement,JobLevel,Research Director,Sales Representative,Manager,Healthcare Representative,Manufacturing Director,Laboratory Technician,Research Scientist,Sales Executive,JobSatisfaction,MaritalStatusDivorced,MaritalStatusMarried,MaritalStatusSingle,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OvertimeNo,OvertimeYes,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,0,0,0,1,430,0,1,0,2,4,0,0,0,1,0,4,0,1,73,3,2,0,0,0,0,0,0,1,0,2,0,1,0,6962,19573,4,0,1,22,4,4,80,1,15,2,3,1,0,0,0
50,1,0,1,0,878,0,0,1,1,4,0,0,0,0,1,2,1,0,94,3,2,0,0,0,0,0,0,0,1,3,1,0,0,6728,14255,7,1,0,12,3,4,80,2,12,3,3,6,3,0,1
33,0,0,0,1,586,0,0,1,1,3,0,0,1,0,0,1,1,0,48,4,2,0,0,0,0,0,0,0,1,1,1,0,0,4037,21816,1,1,0,22,4,1,80,1,9,5,3,9,8,0,8
40,1,0,0,1,1329,0,1,0,7,3,0,0,0,0,1,1,1,0,73,3,1,0,0,0,0,0,1,0,0,1,0,0,1,2166,3339,3,0,1,14,3,2,80,0,10,3,1,4,2,0,3
32,0,1,0,0,953,0,1,0,5,4,1,0,0,0,0,2,1,0,65,3,1,0,0,0,0,0,0,1,0,2,0,0,1,2718,17674,2,1,0,14,3,2,80,0,12,3,3,7,7,0,7
36,1,0,0,1,318,0,1,0,9,3,0,0,1,0,0,4,1,0,79,2,1,0,0,0,0,0,0,1,0,3,0,1,0,3388,21777,0,0,1,17,3,1,80,1,2,0,2,1,0,0,0
27,0,0,0,1,1354,0,1,0,2,4,1,0,0,0,0,2,1,0,41,3,1,0,0,0,0,0,0,1,0,2,0,1,0,2226,6073,1,1,0,11,3,3,80,1,6,3,2,5,3,1,2
29,1,0,0,1,224,0,1,0,1,4,1,0,0,0,0,1,1,0,100,2,1,0,0,0,0,0,0,1,0,1,0,0,1,2362,7568,6,1,0,13,3,3,80,0,11,2,1,9,7,0,7
30,1,0,0,1,1005,0,1,0,3,3,1,0,0,0,0,4,0,1,88,3,1,0,0,0,0,0,0,1,0,1,0,0,1,2657,8556,5,0,1,11,3,3,80,0,8,5,3,5,2,0,4
46,1,0,0,1,261,0,1,0,21,2,0,0,1,0,0,4,0,1,66,3,2,0,0,0,1,0,0,0,0,2,0,1,0,8926,10842,4,1,0,22,4,4,80,1,13,2,4,9,7,3,7
58,0,0,0,1,1272,0,1,0,5,3,1,0,0,0,0,3,0,1,37,2,3,0,0,0,1,0,0,0,0,2,1,0,0,10552,9255,2,0,1,13,3,4,80,1,24,3,3,6,0,0,4
54,0,0,0,1,1441,0,1,0,17,3,1,0,0,0,0,3,0,1,56,3,3,0,0,0,0,1,0,0,0,3,0,1,0,10739,13943,8,1,0,11,3,3,80,1,22,2,3,10,7,0,8
28,1,0,0,1,890,0,1,0,2,4,0,0,1,0,0,3,1,0,46,3,1,0,0,0,0,0,0,1,0,3,0,0,1,4382,16374,6,1,0,17,3,4,80,0,5,3,2,2,2,2,1
38,0,0,0,1,1206,0,1,0,9,2,0,0,0,0,1,2,1,0,71,3,1,0,0,0,0,0,0,1,0,4,1,0,0,4771,14293,2,1,0,19,3,4,80,2,10,0,4,5,2,0,3
45,1,0,0,1,1449,0,0,1,2,3,0,1,0,0,0,1,0,1,94,1,5,0,0,1,0,0,0,0,0,2,0,0,1,18824,2493,2,0,1,16,3,1,80,0,26,2,3,24,10,1,11
20,1,0,1,0,871,0,1,0,6,3,0,0,0,0,1,4,0,1,66,2,1,0,0,0,0,0,1,0,0,4,0,0,1,2926,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0
49,0,1,0,0,1002,0,1,0,18,4,0,0,0,0,1,4,1,0,92,3,2,0,0,0,0,1,0,0,0,4,1,0,0,6804,23793,1,0,1,15,3,1,80,2,7,0,3,7,7,1,7
27,1,0,0,1,1420,0,0,1,2,1,0,1,0,0,0,3,1,0,85,3,1,0,1,0,0,0,0,0,0,1,1,0,0,3041,16346,0,1,0,11,3,2,80,1,5,3,3,4,3,0,2
41,0,0,0,1,167,0,1,0,12,4,0,0,0,0,1,2,1,0,46,3,1,0,0,0,0,0,1,0,0,4,0,1,0,4766,9051,3,0,1,11,3,1,80,1,6,4,3,1,0,0,0
36,0,0,0,1,917,0,1,0,6,4,0,0,0,0,1,3,1,0,60,1,1,0,0,0,0,0,1,0,0,3,1,0,0,2741,6865,1,1,0,14,3,3,80,1,7,4,3,7,7,1,7
42,0,0,1,0,570,0,1,0,8,3,0,0,0,0,1,2,1,0,66,3,5,0,0,1,0,0,0,0,0,4,1,0,0,18430,16225,1,1,0,13,3,2,80,1,24,4,2,24,7,14,9
28,1,0,0,1,1404,0,1,0,17,3,1,0,0,0,0,3,1,0,32,2,1,0,0,0,0,0,1,0,0,4,1,0,0,2367,18779,5,1,0,12,3,1,80,1,6,2,2,4,1,0,3
40,0,0,0,1,300,0,0,1,26,3,0,1,0,0,0,3,1,0,74,3,2,0,0,0,0,0,0,0,1,1,0,1,0,8396,22217,1,1,0,14,3,2,80,1,8,3,2,7,7,7,5
34,1,0,1,0,296,0,0,1,6,2,0,1,0,0,0,4,0,1,33,1,1,0,1,0,0,0,0,0,0,3,1,0,0,2351,12253,0,1,0,16,3,4,80,1,3,3,2,2,2,1,0
50,0,0,0,1,1207,0,1,0,28,1,0,0,1,0,0,4,1,0,74,4,1,0,0,0,0,0,1,0,0,3,0,1,0,3221,3297,1,0,1,11,3,3,80,3,20,3,3,20,8,3,8
31,1,0,0,1,359,1,0,0,18,5,0,0,0,0,0,4,1,0,89,4,1,0,0,0,0,0,0,0,0,1,0,1,0,2956,21495,0,1,0,17,3,3,80,0,2,4,3,1,0,0,0
26,0,0,0,1,775,0,0,1,29,2,0,0,1,0,0,1,1,0,45,3,2,0,0,0,0,0,0,0,1,3,1,0,0,4306,4267,5,1,0,12,3,1,80,2,8,5,3,0,0,0,0
34,0,1,0,0,697,0,1,0,3,4,0,0,0,0,1,3,1,0,40,2,1,0,0,0,0,0,0,1,0,4,0,1,0,2979,22478,3,1,0,17,3,4,80,3,6,2,3,0,0,0,0
28,1,0,0,1,329,0,1,0,24,3,0,0,1,0,0,3,1,0,51,3,1,0,0,0,0,0,1,0,0,2,0,1,0,2408,7324,1,0,1,17,3,3,80,3,1,3,3,1,1,0,0
32,1,0,0,1,1045,0,0,1,4,4,0,0,1,0,0,4,1,0,32,1,3,0,0,0,0,0,0,0,1,4,0,1,0,10400,25812,1,1,0,11,3,3,80,0,14,2,2,14,8,9,8
28,0,0,0,1,857,0,1,0,10,3,0,0,0,1,0,3,0,1,59,3,2,0,0,0,0,0,0,1,0,3,0,0,1,3660,7909,3,1,0,13,3,4,80,0,10,4,4,8,7,1,7
42,1,0,1,0,933,0,1,0,19,3,0,0,1,0,0,3,1,0,57,4,1,0,0,0,0,0,0,1,0,3,1,0,0,2759,20366,6,0,1,12,3,4,80,0,7,2,3,2,2,2,2
29,1,0,0,1,224,0,1,0,1,4,1,0,0,0,0,1,1,0,100,2,1,0,0,0,0,0,0,1,0,1,0,0,1,2362,7568,6,1,0,13,3,3,80,0,11,2,1,9,7,0,7
40,0,0,1,0,902,0,1,0,26,2,0,0,1,0,0,3,0,1,92,2,2,0,0,0,0,0,0,1,0,4,0,1,0,4422,21203,3,0,1,13,3,4,80,1,16,3,1,1,1,0,0
41,1,0,0,1,1356,0,0,1,20,2,0,1,0,0,0,2,0,1,70,3,1,0,1,0,0,0,0,0,0,2,0,0,1,3140,21728,1,0,1,22,4,4,80,0,4,5,2,4,3,0,2
51,1,0,0,1,1323,0,1,0,4,4,0,0,0,0,1,1,1,0,34,3,1,0,0,0,0,0,0,1,0,3,0,1,0,2461,10332,9,0,1,12,3,3,80,3,18,2,4,10,0,2,7
36,0,0,1,0,1467,0,0,1,11,2,1,0,0,0,0,2,0,1,92,3,3,0,0,0,0,0,0,0,1,4,0,1,0,9738,22952,0,1,0,14,3,3,80,1,10,6,3,9,7,2,8
48,0,0,1,0,117,0,1,0,22,3,0,0,1,0,0,4,0,1,58,3,4,0,0,1,0,0,0,0,0,4,1,0,0,17174,2437,3,1,0,11,3,2,80,1,24,3,3,22,17,4,7
32,1,0,0,1,964,0,0,1,1,2,0,0,0,0,1,1,1,0,34,1,2,0,0,0,0,0,0,0,1,2,0,0,1,6735,12147,6,1,0,15,3,2,80,0,10,2,3,0,0,0,0
37,0,0,0,1,309,0,0,1,10,4,0,0,0,0,1,4,0,1,88,2,2,0,0,0,0,0,0,0,1,4,1,0,0,6694,24223,2,0,1,14,3,3,80,3,8,5,3,1,0,0,0
36,0,0,0,1,711,0,1,0,5,4,0,0,0,0,1,2,0,1,42,3,3,0,0,0,1,0,0,0,0,1,0,1,0,8008,22792,4,1,0,12,3,3,80,2,9,6,3,3,2,0,2
50,0,0,0,1,264,0,0,1,9,3,0,1,0,0,0,3,1,0,59,3,5,0,0,1,0,0,0,0,0,3,0,1,0,19331,19519,4,0,1,16,3,3,80,1,27,2,3,1,0,0,0
28,1,1,0,0,1366,0,1,0,24,2,1,0,0,0,0,2,1,0,72,2,3,0,0,0,1,0,0,0,0,1,0,0,1,8722,12355,1,1,0,12,3,1,80,0,10,2,2,10,7,1,9
50,1,0,0,1,869,0,0,1,3,2,0,1,0,0,0,1,1,0,86,2,1,0,1,0,0,0,0,0,0,3,0,1,0,2683,3810,1,0,1,14,3,3,80,0,3,2,3,3,2,0,2
45,0,1,0,0,248,0,1,0,23,2,0,0,0,0,1,4,1,0,42,3,2,0,0,0,0,0,1,0,0,1,0,1,0,3633,14039,1,0,1,15,3,3,80,1,9,2,3,9,8,0,8
48,1,0,1,0,708,0,0,1,7,2,0,0,1,0,0,4,0,1,95,3,1,0,1,0,0,0,0,0,0,3,0,1,0,2655,11740,2,0,1,11,3,3,80,2,19,3,3,9,7,7,7
34,0,0,0,1,258,0,0,1,21,4,0,0,0,0,1,4,1,0,74,4,2,0,0,0,0,0,0,0,1,4,0,0,1,5337,19921,1,1,0,12,3,4,80,0,10,3,3,10,7,5,7
36,0,0,1,0,635,0,1,0,18,1,0,0,1,0,0,2,0,1,73,3,1,0,0,0,0,0,1,0,0,4,0,0,1,2153,7703,1,1,0,13,3,1,80,0,8,2,3,8,1,1,7
25,0,0,0,1,1280,0,1,0,7,1,0,0,1,0,0,4,1,0,64,2,1,0,0,0,0,0,0,1,0,4,0,1,0,2889,26897,1,1,0,11,3,3,80,2,2,2,3,2,2,2,1
40,0,0,0,1,989,0,1,0,4,1,0,0,1,0,0,4,0,1,46,3,5,0,0,1,0,0,0,0,0,3,0,1,0,19033,6499,1,1,0,14,3,2,80,1,21,2,3,20,8,9,9
31,0,1,0,0,697,0,1,0,10,3,0,0,1,0,0,3,0,1,40,3,3,1,0,0,0,0,0,0,0,3,0,1,0,11031,26862,4,1,0,20,4,3,80,1,13,2,4,11,7,4,8
32,0,0,0,1,1093,0,0,1,6,4,0,0,1,0,0,2,1,0,87,3,2,0,0,0,0,0,0,0,1,3,0,0,1,5010,24301,1,1,0,16,3,1,80,0,12,0,3,11,8,5,7
21,1,0,1,0,756,0,0,1,1,1,1,0,0,0,0,1,0,1,99,2,1,0,1,0,0,0,0,0,0,2,0,0,1,2174,9150,1,0,1,11,3,3,80,0,3,3,3,3,2,1,2
26,1,1,0,0,265,0,0,1,29,2,0,0,1,0,0,2,1,0,79,1,2,0,0,0,0,0,0,0,1,1,0,0,1,4969,21813,8,1,0,18,3,4,80,0,7,6,3,2,2,2,2
28,0,0,0,1,1300,0,1,0,17,2,0,0,1,0,0,3,1,0,79,3,2,0,0,0,0,0,1,0,0,1,1,0,0,4558,13535,1,1,0,12,3,4,80,1,10,2,3,10,0,1,8
28,1,0,0,1,1404,0,1,0,17,3,1,0,0,0,0,3,1,0,32,2,1,0,0,0,0,0,1,0,0,4,1,0,0,2367,18779,5,1,0,12,3,1,80,1,6,2,2,4,1,0,3
