Age,Attrition,Non-Travel,Travel_Frequently,Travel_Rarely,DailyRate,Human Resources,Research & Development,Sales,DistanceFromHome,Education,Technical Degree,Marketing,Medical,Other,Life Sciences,EnvironmentSatisfaction,Male,Female,HourlyRate,JobInvolvement,JobLevel,Research Director,Sales Representative,Manager,Healthcare Representative,Manufacturing Director,Laboratory Technician,Research Scientist,Sales Executive,JobSatisfaction,MaritalStatusDivorced,MaritalStatusMarried,MaritalStatusSingle,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OvertimeNo,OvertimeYes,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,1,0,0,1,575,0,0,1,22,2,0,1,0,0,0,3,1,0,68,2,2,0,0,0,0,0,0,0,1,3,0,1,0,6380,6110,2,0,1,12,3,1,80,2,8,6,3,6,4,1,0
31,0,1,0,0,976,0,1,0,3,2,0,0,1,0,0,3,1,0,48,3,1,0,0,0,0,0,0,1,0,1,1,0,0,3065,3995,1,0,1,13,3,4,80,1,4,3,4,4,2,2,3
58,1,0,0,1,289,0,1,0,2,3,1,0,0,0,0,4,1,0,51,3,1,0,0,0,0,0,0,1,0,3,0,0,1,2479,26227,4,1,0,24,4,1,80,0,7,4,3,1,0,0,0
35,1,0,1,0,662,0,0,1,18,4,0,1,0,0,0,4,0,1,67,3,2,0,0,0,0,0,0,0,1,3,0,1,0,4614,23288,0,0,1,18,3,3,80,1,5,0,2,4,2,3,2
42,0,0,0,1,691,0,0,1,8,4,0,1,0,0,0,3,1,0,48,3,2,0,0,0,0,0,0,0,1,2,0,1,0,6825,21173,0,1,0,11,3,4,80,1,10,2,3,9,7,4,2
52,1,0,0,1,1030,0,0,1,5,3,0,0,0,0,1,2,1,0,64,3,3,0,0,0,0,0,0,0,1,2,0,0,1,8446,21534,9,0,1,19,3,3,80,0,10,2,2,8,7,7,7
36,0,0,1,0,1467,0,0,1,11,2,1,0,0,0,0,2,0,1,92,3,3,0,0,0,0,0,0,0,1,4,0,1,0,9738,22952,0,1,0,14,3,3,80,1,10,6,3,9,7,2,8
38,0,0,0,1,130,0,0,1,2,2,0,1,0,0,0,4,1,0,32,3,3,0,0,0,0,0,0,0,1,2,0,0,1,7351,20619,7,1,0,16,3,3,80,0,10,2,3,1,0,0,0
28,1,0,0,1,890,0,1,0,2,4,0,0,1,0,0,3,1,0,46,3,1,0,0,0,0,0,0,1,0,3,0,0,1,4382,16374,6,1,0,17,3,4,80,0,5,3,2,2,2,2,1
38,0,0,1,0,1189,0,1,0,1,3,0,0,0,0,1,4,1,0,90,3,2,0,0,0,0,0,0,1,0,4,0,1,0,4735,9867,7,1,0,15,3,4,80,2,19,4,4,13,11,2,9
54,0,1,0,0,142,1,0,0,26,3,0,0,0,0,0,4,0,1,30,4,4,0,0,1,0,0,0,0,0,4,0,0,1,17328,13871,2,0,1,12,3,3,80,0,23,3,3,5,3,4,4
21,1,0,0,1,1427,0,1,0,18,1,0,0,0,1,0,4,0,1,65,3,1,0,0,0,0,0,0,1,0,4,0,0,1,2693,8870,1,1,0,19,3,1,80,0,1,3,2,1,0,0,0
29,1,0,0,1,992,0,1,0,1,3,1,0,0,0,0,3,1,0,85,3,1,0,0,0,0,0,0,1,0,3,0,0,1,2058,19757,0,1,0,14,3,4,80,0,7,1,2,6,2,1,5
33,1,0,1,0,827,0,1,0,29,4,0,0,1,0,0,1,0,1,54,2,2,0,0,0,0,0,0,1,0,3,0,0,1,4508,3129,1,1,0,22,4,2,80,0,14,4,3,13,7,3,8
42,0,0,0,1,1332,0,1,0,2,4,0,0,0,1,0,1,1,0,98,2,2,0,0,0,1,0,0,0,0,4,0,0,1,6781,17078,3,1,0,23,4,2,80,0,14,6,3,1,0,0,0
54,0,0,0,1,1147,0,0,1,3,3,0,1,0,0,0,4,0,1,52,3,2,0,0,0,0,0,0,0,1,1,0,1,0,5940,17011,2,1,0,14,3,4,80,1,16,4,3,6,2,0,5
19,1,0,0,1,303,0,1,0,2,3,0,0,0,0,1,2,1,0,47,2,1,0,0,0,0,0,1,0,0,4,0,0,1,1102,9241,1,1,0,22,4,3,80,0,1,3,2,1,0,1,0
44,0,1,0,0,981,0,1,0,5,3,0,0,0,0,1,3,1,0,90,2,1,0,0,0,0,0,1,0,0,3,0,0,1,3162,7973,3,1,0,14,3,4,80,0,7,5,3,5,2,0,3
54,0,0,0,1,155,0,1,0,9,2,0,0,0,0,1,1,0,1,67,3,2,0,0,0,0,0,0,1,0,3,0,1,0,2897,22474,3,1,0,11,3,3,80,2,9,6,2,4,3,2,3
