price,baths,rooms,sqft,address,Pisos,Independientes
1920000,3,3,183,"Recoletos, Madrid",1,0
1995000,3,3,170,"Castellana, Madrid",1,0
1300000,3,4,270,"Hortaleza, Madrid",1,0
1650000,3,3,248,"Chamartín, Madrid",1,0
1590750,3,3,116,"Recoletos, Madrid",1,0
1590000,4,5,360,"Cuatro Caminos, Madrid",1,0
5700000,5,4,305,"Recoletos, Madrid",1,0
2190000,4,4,183,"Goya, Madrid",1,0
1190000,2,2,112,"Goya, Madrid",1,0
675000,2,3,153,"Aravaca, Madrid",1,0
3950000,5,4,291,"Recoletos, Madrid",1,0
752248,2,3,132,"Sol, Madrid",1,0
995000,3,3,160,"Bernabéu-Hispanoamérica, Madrid",0,1
1295000,3,4,229,"Vallehermoso, Madrid",1,0
3900000,5,5,284,"Castellana, Madrid",1,0
1175000,3,3,178,"Huertas-Cortes, Madrid",1,0
1075000,3,3,169,"Chamberí, Madrid",1,0
1970000,4,4,283,"Bernabéu-Hispanoamérica, Madrid",1,0
4950000,7,6,886,"Nueva España, Madrid",0,1
1800000,4,3,214,"Huertas-Cortes, Madrid",1,0
990000,4,5,292,"Aravaca, Madrid",1,0
1650000,5,5,367,"Conde Orgaz-Piovera, Madrid",0,1
7900000,5,4,473,"Castellana, Madrid",1,0
2450000,3,4,261,"Chueca-Justicia, Madrid",1,0
1850000,5,5,306,"Argüelles, Madrid",1,0
1255000,3,3,153,"Nuevos Ministerios-Ríos Rosas, Madrid",1,0
1850000,5,5,438,"Hortaleza, Madrid",0,1
780000,2,2,117,"Centro, Madrid",1,0
1200000,4,4,300,"Moncloa, Madrid",1,0
1125000,3,3,173,"Retiro, Madrid",1,0
1200000,4,5,240,"Moncloa, Madrid",1,0
2300000,3,4,242,"Barrio de Salamanca, Madrid",1,0
698000,2,2,108,"Barrio de Salamanca, Madrid",1,0
1237000,7,8,485,"Peñagrande, Madrid",0,1
1625000,5,6,450,"Mirasierra, Madrid",0,1
470000,2,3,95,"Fuencarral, Madrid",1,0
475000,2,3,112,"Comillas, Madrid",1,0
1950000,4,3,175,"Centro, Madrid",1,0
950000,3,3,154,"Chamartín, Madrid",1,0
750000,3,5,156,"Argüelles, Madrid",1,0
1500000,2,2,168,"Chamartín, Madrid",1,0
2100000,7,6,334,"Chamartín, Madrid",0,1
5500000,6,7,1150,"Hortaleza, Madrid",0,1
930000,4,5,265,"Moncloa, Madrid",0,1
710000,2,3,127,"Malasaña-Universidad, Madrid",1,0
730000,2,2,125,"Nueva España, Madrid",1,0
1300000,4,3,133,"Recoletos, Madrid",1,0
