address,district
"12 de Octubre-Orcasur, Madrid",Usera
"Acacias, Madrid",Arganzuela
"Almagro, Madrid",Chamberí
"Almendrales, Madrid",Usera
"Amposta, Madrid",San Blas-Canillejas
"Arapiles, Madrid",Chamberí
"Aravaca, Madrid",Moncloa-Aravaca
"Arganzuela, Madrid",Arganzuela
"Argüelles, Madrid",Moncloa-Aravaca
"Barajas, Madrid",Barajas
"Barrio de Salamanca, Madrid",Salamanca
"Bellas Vistas, Madrid",Tetuán
"Bernabéu-Hispanoamérica, Madrid",Chamartín
"Berruguete, Madrid",Tetuán
"Buena Vista, Madrid",Carabanchel
"Butarque, Madrid",Villaverde
"Campamento, Madrid",Latina
"Canillas, Madrid",Hortaleza
"Canillejas, Madrid",San Blas-Canillejas
"Casco Histórico de Barajas, Madrid",Barajas
"Castellana, Madrid",Salamanca
"Castilla, Madrid",Chamartín
"Centro, Madrid",Centro
"Chamartín, Madrid",Chamartín
"Chamberí, Madrid",Chamberí
"Chopera, Madrid",Arganzuela
"Chueca-Justicia, Madrid",Centro
"Ciudad Jardín, Madrid",Chamartín
"Ciudad Lineal, Madrid",Ciudad Lineal
"Ciudad Universitaria, Madrid",Moncloa-Aravaca
"Colina, Madrid",Ciudad Lineal
"Comillas, Madrid",Carabanchel
"Concepción, Madrid",Ciudad Lineal
"Conde Orgaz-Piovera, Madrid",Hortaleza
"Costillares, Madrid",Ciudad Lineal
"Cuatro Caminos, Madrid",Tetuán
"Cuzco-Castillejos, Madrid",Tetuán
"Delicias, Madrid",Arganzuela
"El Cañaveral, Madrid",Vicálvaro
"El Plantío, Madrid",Moncloa-Aravaca
"El Viso, Madrid",Chamartín
"Ensanche de Vallecas - La Gavia, Madrid",Villa de Vallecas
"Estrella, Madrid",Retiro
"Fuencarral, Madrid",Fuencarral-El Pardo
"Fuente del Berro, Madrid",Salamanca
"Fuentelarreina, Madrid",Fuencarral-El Pardo
"Gaztambide, Madrid",Chamberí
"Goya, Madrid",Salamanca
"Guindalera, Madrid",Salamanca
"Hortaleza, Madrid",Hortaleza
"Huertas-Cortes, Madrid",Centro
"Ibiza, Madrid",Retiro
"Imperial, Madrid",Arganzuela
"Jerónimos, Madrid",Retiro
"La Paz, Madrid",Fuencarral-El Pardo
"Latina, Madrid",Latina
"Lavapiés-Embajadores, Madrid",Centro
"Legazpi, Madrid",Arganzuela
"Lista, Madrid",Salamanca
"Los Ángeles, Madrid",Villaverde
"Malasaña-Universidad, Madrid",Centro
"Mirasierra, Madrid",Fuencarral-El Pardo
"Moncloa, Madrid",Moncloa-Aravaca
"Moratalaz, Madrid",Moratalaz
"Niño Jesús, Madrid",Retiro
"Nueva España, Madrid",Chamartín
"Nuevos Ministerios-Ríos Rosas, Madrid",Chamberí
"Opañel, Madrid",Carabanchel
"Pacífico, Madrid",Retiro
"Palacio, Madrid",Centro
"Palomas, Madrid",Hortaleza
"Palos de Moguer, Madrid",Arganzuela
"Pau de Carabanchel, Madrid",Carabanchel
"Peñagrande, Madrid",Fuencarral-El Pardo
"Pinar del Rey, Madrid",Hortaleza
"Prosperidad, Madrid",Chamartín
"Pueblo Nuevo, Madrid",Ciudad Lineal
"Puente de Vallecas, Madrid",Puente de Vallecas
"Puerta del Ángel, Madrid",Latina
"Quintana, Madrid",Ciudad Lineal
"Recoletos, Madrid",Salamanca
"Rejas, Madrid",San Blas-Canillejas
"Retiro, Madrid",Retiro
"Salvador, Madrid",San Blas-Canillejas
"San Blas, Madrid",San Blas-Canillejas
"San Diego, Madrid",Puente de Vallecas
"San Fermín, Madrid",Usera
"San Isidro, Madrid",Carabanchel
"San Juan Bautista, Madrid",Ciudad Lineal
"Sanchinarro, Madrid",Hortaleza
"Simancas, Madrid",San Blas-Canillejas
"Sol, Madrid",Centro
"Tetuán, Madrid",Tetuán
"Timón, Madrid",Barajas
"Trafalgar, Madrid",Chamberí
"Valdeacederas, Madrid",Tetuán
"Valdebebas - Valdefuentes, Madrid",Hortaleza
"Valdemarín, Madrid",Moncloa-Aravaca
"Valdezarza, Madrid",Moncloa-Aravaca
"Vallehermoso, Madrid",Chamberí
"Ventas, Madrid",Ciudad Lineal
"Ventilla-Almenara, Madrid",Tetuán
"Virgen del Cortijo - Manoteras, Madrid",Hortaleza
"Vista Alegre, Madrid",Carabanchel
"Zofío, Madrid",Usera
