address,district,price,baths,rooms,sqft,Pisos,Independientes
"12 de Octubre-Orcasur, Madrid",Usera,155000,1,2,74,1,0
"Acacias, Madrid",Arganzuela,560000,2,5,148,1,0
"Acacias, Madrid",Arganzuela,979000,2,3,154,1,0
"Acacias, Madrid",Arganzuela,400000,2,3,118,1,0
"Acacias, Madrid",Arganzuela,500000,1,2,96,1,0
"Acacias, Madrid",Arganzuela,169000,1,0,36,1,0
"Almagro, Madrid",Chamberí,2800000,3,4,201,1,0
"Almagro, Madrid",Chamberí,1049000,2,3,158,1,0
"Almagro, Madrid",Chamberí,2500000,5,6,306,1,0
"Almagro, Madrid",Chamberí,1500000,3,3,137,1,0
"Almagro, Madrid",Chamberí,1650000,3,4,238,1,0
"Almagro, Madrid",Chamberí,2700000,4,4,304,1,0
"Almagro, Madrid",Chamberí,950000,2,2,120,1,0
"Almagro, Madrid",Chamberí,2690000,5,5,270,1,0
"Almagro, Madrid",Chamberí,2600000,4,4,459,1,0
"Almagro, Madrid",Chamberí,4200000,4,5,404,1,0
"Almagro, Madrid",Chamberí,3200000,4,8,596,1,0
"Almagro, Madrid",Chamberí,2900000,2,3,216,1,0
"Almagro, Madrid",Chamberí,3200000,4,7,596,1,0
"Almagro, Madrid",Chamberí,3250000,3,5,300,1,0
"Almagro, Madrid",Chamberí,2700000,3,3,200,1,0
"Almagro, Madrid",Chamberí,3195000,5,5,274,1,0
"Almagro, Madrid",Chamberí,1380000,2,2,120,1,0
"Almagro, Madrid",Chamberí,3250000,3,6,300,1,0
"Almagro, Madrid",Chamberí,750000,2,2,105,1,0
"Almendrales, Madrid",Usera,689000,2,3,161,1,0
"Almendrales, Madrid",Usera,203000,1,1,47,1,0
"Almendrales, Madrid",Usera,169000,1,2,74,1,0
"Amposta, Madrid",San Blas-Canillejas,255900,1,3,93,1,0
"Arapiles, Madrid",Chamberí,850000,2,3,145,1,0
"Arapiles, Madrid",Chamberí,319000,1,1,50,1,0
"Arapiles, Madrid",Chamberí,695000,2,3,120,1,0
"Arapiles, Madrid",Chamberí,850000,2,2,118,1,0
"Arapiles, Madrid",Chamberí,2500000,5,6,399,1,0
"Arapiles, Madrid",Chamberí,349000,1,2,82,1,0
"Aravaca, Madrid",Moncloa-Aravaca,675000,2,3,153,1,0
"Aravaca, Madrid",Moncloa-Aravaca,990000,4,5,292,1,0
"Aravaca, Madrid",Moncloa-Aravaca,958800,4,4,150,1,0
"Aravaca, Madrid",Moncloa-Aravaca,3950000,8,8,725,0,1
"Aravaca, Madrid",Moncloa-Aravaca,1250000,5,4,300,0,1
"Arganzuela, Madrid",Arganzuela,850000,2,4,182,1,0
"Argüelles, Madrid",Moncloa-Aravaca,1850000,5,5,306,1,0
"Argüelles, Madrid",Moncloa-Aravaca,750000,3,5,156,1,0
"Argüelles, Madrid",Moncloa-Aravaca,435000,1,2,82,1,0
"Argüelles, Madrid",Moncloa-Aravaca,1349000,3,3,183,1,0
"Argüelles, Madrid",Moncloa-Aravaca,1320000,3,4,255,1,0
"Argüelles, Madrid",Moncloa-Aravaca,920000,3,5,210,1,0
"Argüelles, Madrid",Moncloa-Aravaca,560000,2,2,70,1,0
"Argüelles, Madrid",Moncloa-Aravaca,660000,1,1,58,1,0
"Argüelles, Madrid",Moncloa-Aravaca,435000,1,2,89,1,0
"Argüelles, Madrid",Moncloa-Aravaca,940000,2,3,139,1,0
"Argüelles, Madrid",Moncloa-Aravaca,660000,1,1,58,1,0
"Argüelles, Madrid",Moncloa-Aravaca,375000,2,2,60,1,0
"Barajas, Madrid",Barajas,860000,3,6,363,0,1
"Barajas, Madrid",Barajas,299000,2,3,101,1,0
"Barajas, Madrid",Barajas,270000,1,1,80,1,0
"Barrio de Salamanca, Madrid",Salamanca,2300000,3,4,242,1,0
"Barrio de Salamanca, Madrid",Salamanca,698000,2,2,108,1,0
