Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,size_range,Independientes
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000,1,2,74,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,2,5,148,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979000,2,3,154,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,2,3,118,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,1,2,96,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169000,1,0,36,Q1 - Small,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000,3,4,201,Q3 - Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049000,2,3,158,Q2 - Medium,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,5,6,306,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,3,3,137,Q2 - Medium,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650000,3,4,238,Q3 - Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700000,4,4,304,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950000,2,2,120,Q2 - Medium,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690000,5,5,270,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600000,4,4,459,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200000,4,5,404,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200000,4,8,596,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900000,2,3,216,Q3 - Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200000,4,7,596,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250000,3,5,300,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700000,3,3,200,Q3 - Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3195000,5,5,274,Q4 - Very Large,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380000,2,2,120,Q2 - Medium,0
